Ь мыши;WBC, 10^9/L;Lymph, 10^9/L;Mon, 10^9/L;Gran, 10^9/L;Lymph, %;Mon, %;Gran, %;RBC, 10^12/L;HGB, g/L;HCT, %;MCV, fL;MCH, pg;MCHC, g/L;RDW, %;PLT, 10^9/L;MPV, fL;PDW;PCT, %
1;5.7;4.3;0.1;1.3;75.2;2.8;22.0;10.30;141;46.5;45.2;13.6;303;12.5;505;7..0;15.1;0.353
2;8.0;6.1;0.3;1.6;76.2;3.4;20.4;9.79;137;46.3;47.3;13.9;295;12.8;570;5.8;14.9;0.330
3;6.2;4.6;0.2;1.4;74.1;2.9;23.0;9.67;139;48.7;50.4;14.3;285;14.1;516;5.8;14.8;0.299
4;5.4;4.2;0.1;1.1;76.5;2.5;21.0;9.92;148;52.4;52.9;14.9;282;13.2;403;7.1;15.6;0.286
5;6.9;4.8;0.2;1.9;69.6;3.4;27.0;9.52;141;48.8;51.3;14.8;288;13.8;722;7.9;15.9;0.570
6;3.9;3.1;0.1;0.7;80.0;3.1;16.9;9.63;135;44.2;45.9;14.0;305;12.6;617;6.8;15.3;0.419
7;6.5;4.8;0.2;1.5;74.2;3.1;22.7;10.19;141;47.2;46.4;13.8;298;12.6;360;6.1;14.9;0.219
8;6.0;4.4;0.2;1.4;72.8;3.4;23.8;10.53;145;47.7;45.3;13.7;303;12.9;498;5.8;14.7;0.288
9;5.8;4.6;0.1;1.1;78.6;2.5;18.9;10.10;143;47.8;47.4;14.1;299;12.3;524;5.7;14.8;0.298
11;3.9;2.9;0.1;0.9;74.6;3.6;21.8;9.83;139;45.6;46.4;14.1;304;13.1;636;6.2;14.7;0.394
12;4.5;3.3;0.2;1.0;74.0;3.4;22.6;10.17;140;45.3;44.6;13.7;309;12.5;607;5.6;14.6;0.339
13;6.1;4.6;0.2;1.3;74.5;3.6;21.9;10.38;139;46.2;44.6;13.3;300;13.7;593;5.8;14.4;0.343
14;4.5;3.4;0.1;1.0;74.3;3.1;22.6;10.43;147;49.9;47.9;14.0;294;12.8;497;6.1;14.8;0.303
15;3.4;2.4;0.1;0.9;71.2;2.3;26.5;10.13;152;52.7;52.1;15.0;288;13.1;698;6.9;15.7;0.481
16;3.8;3.1;0.0;0.7;80.3;2.4;17.3;10.74;141;46.8;43.6;13.1;301;12.8;553;5.7;14.4;0.315
17;5.5;4.6;0.2;0.7;82.8;3.9;13.3;10.80;149;50.6;46.9;13.7;294;14.3;597;6.2;14.8;0.370
18;6.5;5.8;0.1;0.6;89.0;2.1;8.9;11.58;158;53.3;46.1;13.6;296;12.9;218;6.2;15.0;0.135
19;4.8;3.9;0.1;0.8;81.2;2.2;16.6;10.60;143;47.5;44.9;13.4;301;14.2;446;5.8;14.7;0.258
22;3.4;2.6;0.1;0.7;75.6;2.9;21.5;11.01;150;50.8;46.2;13.6;295;13.8;373;5.9;14.7;0.220
24;5.3;4.2;0.1;1.0;79.6;2.3;18.1;10.47;152;52.9;50.6;14.5;287;13.0;398;6.1;15.0;0.242
27;4.4;3.1;0.2;1.1;71.2;4.9;23.9;10.96;157;53.3;48.7;14.3;294;13.2;316;6.0;14.7;0.189
29;6.3;5.2;0.2;0.9;81.8;3.3;14.9;10.16;143;48.9;48.2;14.0;292;12.0;576;6.0;14.8;0.345
